name,country_name,longitude,latitude,population,significance
Marseille 10,France,43.27889,5.41523,51299,2002218457
Venice,Italy,45.43713,12.33265,51298,1624925815
Winterhude,Germany,53.6,10.0,51297,2370353807
Coronel Oviedo,Paraguay,-25.44444,-56.44028,51286,253852863
Barreiro,Portugal,38.66314,-9.0724,51280,1150573360
City of Milford (balance),United States,41.22374,-73.06164,51271,3257942777
Châlons-en-Champagne,France,48.95393,4.36724,51257,2000579182
Teoloyucan,Mexico,19.74423,-99.18113,51255,427810230
Tigard,United States,45.43123,-122.77149,51253,3256798992
East Hartford,United States,41.78232,-72.61203,51252,3256735449
Rāmnagar,India,29.3925,79.1283,51244,97399820
Remchi,Algeria,35.06196,-1.43362,51224,169571240
Teplice,Czech Republic,50.6404,13.82451,51223,1174657360
Apple Valley,United States,44.73191,-93.21772,51221,3254765598
Plainfield,United States,40.63371,-74.40737,51217,3254511424
Qulsary,Kazakhstan,46.95307,54.01978,51216,463799036
Leesburg,United States,39.11566,-77.5636,51209,3254003075
Birine,Algeria,35.635,3.225,51209,169521584
Erftstadt,Germany,50.81481,6.79387,51207,2366195048
Serra Talhada,Brazil,-7.99194,-38.29833,51203,348018831
Nahariyya,Israel,33.00892,35.09814,51200,2232858431
Vejle,Denmark,55.70927,9.5357,51177,3125037345
Ibshawāy,Egypt,29.35896,30.68061,51173,181555195
Horizonte,Brazil,-4.1,-38.48333,51171,347801332
Séguéla,Ivory Coast,7.96111,-6.67306,51157,118977048
Parsippany,United States,40.85788,-74.42599,51144,3249872742
Fastiv,Ukraine,50.0767,29.9177,51143,180287437
Coral Gables,United States,25.72149,-80.26838,51117,3248157066
Gangshang,China,34.52147,118.11835,51114,536717222
Neubrück,Germany,51.13434,6.63857,51109,2361666622
Comal,Indonesia,-6.9053,109.5347,51092,197705012
Seydişehir,Turkey,37.41926,31.84527,51089,436206519
Guanshan,China,33.79833,117.86639,51086,536423210
Ivanteyevka,Russian Federation,55.97111,37.92083,51085,525901032
Nyeri,Kenya,-0.42013,36.94759,51084,93903118
Noshiro,Japan,40.20838,140.0274,51079,2019606414
Sillod,India,20.30303,75.65284,51042,97015877
Staines,United Kingdom,51.43092,-0.50606,51040,2056127947
Mācherla,India,16.47635,79.43533,51039,97010175
Khalkhāl,Iran,37.61837,48.52928,51024,116464926
Melo,Uruguay,-32.37028,-54.1675,51023,787714078
Tadmur,Syrian Arab Republic,34.5624,38.28402,51015,117781943
Rolândia,Brazil,-23.30972,-51.36917,51004,346666259
The Hammocks,United States,25.67149,-80.4445,51003,3240913098
Jesús Menéndez,Cuba,21.16139,-76.47919,51002,464382942
Kardzhali,Bulgaria,41.65,25.36667,51000,508764780
Gostivar,North Macedonia,41.79601,20.90819,50974,300135117
Shiraoka,Japan,36.01839,139.66034,50974,2015454832
Bunda,Tanzania,-2.02153,33.87109,50944,53225816
Tūndla,India,27.2146,78.23683,50939,96820104
Żoliborz,Poland,52.26896,20.98644,50934,797432011
Acayucan,Mexico,17.94979,-94.91386,50934,425130939
la Vila de Gràcia,Spain,41.40315,2.15687,50928,1378274340
Mannārakkāt,India,10.99223,76.46418,50921,96785891
Porirua,New Zealand,-41.13333,174.85,50914,2111808088
Ottappālam,India,10.7735,76.37758,50913,96770686
Whangarei,New Zealand,-35.73167,174.32391,50900,2111227397
Hà Đông,Vietnam,20.97136,105.77876,50877,141729288
Buckeye,United States,33.37032,-112.58378,50876,3232843064
Vittoria,Italy,36.95151,14.52788,50852,1610798229
Donetsk,Russian Federation,48.33962,39.95948,50850,523481794
Tocumen,Panama,9.08939,-79.3831,50844,623807527
Kitaibaraki,Japan,36.78671,140.74901,50843,2010275238
Pontian Kechil,Malaysia,1.4866,103.3896,50836,528785600
Flagami,United States,25.76232,-80.31616,50834,3230174233
Guanzhuang,China,36.26333,119.19389,50826,533693108
Barranqueras,Argentina,-27.48132,-58.93925,50823,429043672
Nagykanizsa,Hungary,46.45347,16.99104,50823,808042413
Batley,United Kingdom,53.70291,-1.6337,50807,2046741626
Catalina Foothills,United States,32.29785,-110.9187,50796,3227759577
Legionowo,Poland,52.40149,20.92664,50786,795114896
Yerba Buena,Argentina,-26.81667,-65.31667,50783,428705995
Narbonne,France,43.18396,3.00141,50776,1981805578
Goālpāra,India,26.17668,90.62634,50759,96477977
Kānkānhalli,India,12.54654,77.42005,50752,96464672
Fuchūchō,Japan,34.5735,133.23513,50746,2006439967
Zumpango,Mexico,19.7967,-99.09946,50742,423528372
Gelendzhik,Russian Federation,44.5622,38.0848,50715,522092020
Al Miqdādīyah,Iraq,33.97861,44.93694,50698,210776149
Bingerville,Ivory Coast,5.35581,-3.88537,50694,117900238
Kobryn,Belarus,52.2138,24.3564,50691,324991549
Rajanpur,Pakistan,29.10408,70.32969,50682,60500796
Saint-Malo,France,48.64738,-2.00877,50676,1977902542
Mweka,Congo,-4.85187,21.5595,50675,28216508
Madhupur,India,24.27419,86.63929,50671,96310715
Karanganom,Indonesia,-7.64889,110.625,50670,196072046
Utrera,Spain,37.18516,-5.78093,50665,1371156720
Oshnavīyeh,Iran,37.0397,45.0983,50661,115636360
Merzifon,Turkey,40.87333,35.46306,50658,432526568
Phetchabun,Thailand,16.41904,101.16056,50656,364168103
Lakewood,United States,41.48199,-81.79819,50656,3218863476
Rohri,Pakistan,27.69203,68.89503,50649,60461403
Lytkarino,Russian Federation,55.58271,37.90516,50619,521103735
Shanji,China,34.20472,117.59556,50617,531498525
Saint Croix,Virgin Islands,17.72751,-64.74698,50601,1896644877
Skien,Norway,59.20962,9.60897,50595,3409592600
Ōi,Japan,35.85091,139.51998,50593,2000390519
Vila-real,Spain,39.9383,-0.10087,50577,1368775159
Wellingborough,United Kingdom,52.30273,-0.69446,50577,2037476159
Ibbenbüren,Germany,52.27964,7.71457,50577,2337083737
Marechal Deodoro,Brazil,-9.71028,-35.895,50571,343723225
Madhipura,India,25.92127,86.79271,50570,96118743
Kingisepp,Russian Federation,59.37331,28.61343,50566,520558120
Kizlyar,Russian Federation,43.84712,46.71445,50564,520537531
Passau,Germany,48.5665,13.43122,50560,2336298194
Charkhi Dādri,India,28.59166,76.27161,50558,96095935
Clacton-on-Sea,United Kingdom,51.78967,1.15597,50548,2036307905
Kawalu,Indonesia,-7.3817,108.2082,50541,195572869
São Roque,Brazil,-23.52917,-47.13528,50540,343512523
Zhob,Pakistan,31.34082,69.4493,50537,60327705
Khorramdarreh,Iran,36.20777,49.19527,50528,115332781
Dumraon,India,25.55265,84.15149,50524,96031311
Dapitan,Philippines,8.6561,123.4227,50514,166637091
Turbo,Colombia,8.09263,-76.72822,50508,269347725
Kavaklı,Turkey,41.09258,28.33172,50502,431194614
Budapest XXII. kerület,Hungary,47.42698,19.04016,50499,802891089
Gbadolite,Congo,4.279,21.00284,50493,28115168
Coari,Brazil,-4.085,-63.14139,50490,343172681
Laval,France,48.07247,-0.77019,50489,1970603865
Hyères,France,43.12038,6.12857,50487,1970525804
Kyaukse,Myanmar,21.6056,96.13508,50480,70683017
North La Crosse,United States,43.84635,-91.24819,50470,3207044371
Burien,United States,47.47038,-122.34679,50467,3206853740
Çarşamba,Turkey,41.19889,36.72194,50459,430827473
Tarnobrzeg,Poland,50.57304,21.67937,50459,789995324
Tafo,Ghana,6.73156,-1.6137,50457,117490872
Hua Hin,Thailand,12.57065,99.95876,50456,362730295
Mahāsamund,India,21.10743,82.0948,50441,95873552
Hanyuan,China,32.834,106.25035,50440,529639955
Gallarate,Italy,45.66019,8.79164,50439,1597715958
Langenhagen,Germany,52.44758,9.73741,50439,2330706974
Madrid,Colombia,4.73245,-74.26419,50437,268969098
Willowdale East,Canada,43.7706,-79.40148,50434,2181682865
Novovolynsk,Ukraine,50.72576,24.16265,50417,177728168
Horishni Plavni,Ukraine,49.00835,33.62926,50414,177717593
Arjona,Colombia,10.25444,-75.34389,50405,268798449
San Mateo,Venezuela,10.21302,-67.42365,50401,854952903
Schwerte,Germany,51.44387,7.5675,50399,2328858637
Matli,Pakistan,25.0429,68.65591,50398,60161776
North Bay,Canada,46.3168,-79.46633,50396,2180039054
Dunfermline,United Kingdom,56.07156,-3.45887,50380,2029540085
Gajraula,India,28.8457,78.2396,50380,95757609
Logan,United States,41.73549,-111.83439,50371,3200753557
Khagrachhari,Bangladesh,23.10787,91.97007,50364,99156252
Konibodom,Tajikistan,40.29414,70.43122,50359,43265329
Ma'an,Jordan,30.19624,35.73405,50350,215637259
Speyer,Germany,49.32083,8.43111,50343,2326270965
Nkoteng,Cameroon,4.51667,12.03333,50334,75469433
Saint-Hyacinthe,Canada,45.63076,-72.95699,50326,2177010981
Issia,Ivory Coast,6.49224,-6.58558,50313,117014137
Torbalı,Turkey,38.1519,27.36223,50303,429495518
Olympia,United States,47.03787,-122.9007,50302,3196369050
South Peabody,United States,42.50982,-70.94949,50293,3195797158
Swedru,Ghana,5.53711,-0.69984,50293,117108993
Ābu Road,India,24.48012,72.78186,50262,95533326
Chomutov,Czech Republic,50.46048,13.41779,50251,1152367237
